Rank,Country/Territory,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,GrowthRate
36,Afghanistan,Asia,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.0587,1.0257,0.52,
138,Albania,Europe,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,98.8702,0.9957,0.04,-93.0892148467067
34,Algeria,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,1479.8083678796309
213,American Samoa,Oceania,44273,46189,51368,54849,58230,47818,32886,27075,199,222.4774,0.9831,0.0,-99.90140351834417
203,Andorra,Europe,79824,77700,71746,71519,66097,53569,35611,19860,468,170.5641,1.01,0.0,80.29950534185622
42,Angola,Africa,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,28.5466,1.0315,0.45,44484.319252355184
224,Anguilla,North America,15857,15585,14525,13172,11047,8316,6560,6283,91,174.2527,1.0066,0.0,-99.95544408161997
201,Antigua and Barbuda,North America,93763,92664,89941,85695,75055,63328,64888,64516,442,212.1335,1.0058,0.0,491.3035252569843
33,Argentina,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,48437.60865160031
140,Armenia,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,-93.89046457552769
198,Aruba,North America,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611,0.9991,0.0,-96.17168902080908
55,Australia,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,24492.430832824462
99,Austria,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,-65.84988363823423
91,Azerbaijan,Asia,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13,15.867089160531144
176,Bahamas,North America,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01,-96.04188964087339
154,Bahrain,Asia,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1924.4876,1.0061,0.02,259.09523298470185
8,Bangladesh,Asia,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1160.035,1.0108,2.15,11527.668446502694
186,Barbados,North America,281635,280693,278083,274711,264657,258868,253575,241397,430,654.9651,1.0015,0.0,-99.83548047855118
96,Belarus,Europe,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,45.9295,0.9955,0.12,3285.571395600689
81,Belgium,Europe,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,381.8111,1.0038,0.15,22.244218482857914
177,Belize,North America,405272,394921,359871,322106,240406,182589,145133,120905,22966,17.6466,1.0131,0.01,-96.5230402035702
77,Benin,Africa,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,118.5635,1.0274,0.17,3194.790659112892
206,Bermuda,North America,64184,64031,63144,63447,61371,57470,53565,52019,54,1188.5926,1.0,0.0,-99.519324094067
165,Bhutan,Asia,782455,772506,743274,705516,587207,558442,415257,298894,38394,20.3796,1.0064,0.01,1119.0810793967344
80,Bolivia,South America,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581,11.1272,1.012,0.15,1462.2764248423232
137,Bosnia and Herzegovina,Europe,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209,63.1437,0.9886,0.04,-73.54796381904286
144,Botswana,Africa,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,4.5194,1.0162,0.03,-18.65548630195025
7,Brazil,South America,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,8515767,25.2841,1.0046,2.7,8085.903715779517
221,British Virgin Islands,North America,31305,30910,29366,27556,20104,15617,11109,9581,151,207.3179,1.0059,0.0,-99.98546073502554
175,Brunei,Asia,449002,441725,421437,396053,333926,261928,187921,133343,5765,77.8841,1.0081,0.01,1334.28206356812
108,Bulgaria,Europe,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,61.1654,0.9849,0.09,1410.450510242716
58,Burkina Faso,Africa,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.0641,1.0259,0.28,234.3249650948628
78,Burundi,Africa,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,463.0874,1.027,0.16,-43.15201861958329
73,Cambodia,Asia,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,92.6221,1.0108,0.21,30.088390805097088
53,Cameroon,Africa,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,58.7128,1.0263,0.35,66.4766163707888
39,Canada,North America,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,3.8513,1.0078,0.48,37.75735695553026
171,Cape Verde,Africa,593149,582640,552166,521212,458251,364563,317234,287262,4033,147.0739,1.0089,0.01,-98.45752338872033
205,Cayman Islands,North America,68706,67311,60911,54074,39658,26027,17100,10533,264,260.25,1.0084,0.0,-88.41673845863349
117,Central African Republic,Africa,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,8.9555,1.0224,0.07,8020.3155474048845
69,Chad,Africa,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,13.8032,1.0316,0.22,217.6708649212137
65,Chile,South America,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,25.9274,1.0057,0.25,10.609854871958202
1,China,Asia,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8933,1.0,17.88,7173.550078446795
28,Colombia,South America,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,45.4339,1.0069,0.65,-96.36198298042673
163,Comoros,Africa,836774,806166,730216,656024,536758,431119,328328,242351,1862,449.3953,1.0184,0.01,-98.38691133735836
223,Cook Islands,Oceania,17011,17029,17695,17212,15897,17123,17651,20470,236,72.0805,1.0005,0.0,-97.96707354674022
124,Costa Rica,North America,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3861,1.0052,0.06,30355.758038915996
130,Croatia,Europe,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,71.2153,0.9927,0.05,-22.206310997718703
85,Cuba,North America,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,102.0366,0.9961,0.14,178.19342599342295
189,Curacao,North America,191163,189288,169572,159380,141424,155446,156851,150385,444,430.5473,1.0043,0.0,-98.29504331490607
158,Cyprus,Europe,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,135.2814,1.0059,0.02,554.6706214068622
88,Czech Republic,Europe,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0627,0.9984,0.13,738.5207049528242
115,Denmark,Europe,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,136.4984,1.0048,0.07,-43.946361277783296
160,Djibouti,Africa,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,48.3125,1.0138,0.01,-80.9452691745572
204,Dominica,North America,72737,71995,70007,68755,68346,69481,72978,68895,751,96.8535,1.0045,0.0,-93.51054423923294
84,Dominican Republic,North America,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,230.7087,1.01,0.14,15337.564100801517
15,DR Congo,Africa,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,42.2244,1.0325,1.24,781.7507376776243
67,Ecuador,South America,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23,-81.81904711000922
14,Egypt,Africa,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,110.7188,1.0158,1.39,516.5774290317205
112,El Salvador,North America,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,301.145,1.0035,0.08,-94.29102971460436
152,Equatorial Guinea,Africa,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.7094,1.0247,0.02,-73.56685003074304
132,Eritrea,Africa,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31.3268,1.0176,0.05,119.95429002667608
156,Estonia,Europe,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,29.3201,0.998,0.02,-64.00514436356688
159,Eswatini,Africa,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,69.2047,1.0079,0.02,-9.38055686687349
12,Ethiopia,Africa,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,111.7268,1.0257,1.55,10167.371574558738
231,Falkland Islands,South America,3780,3747,3408,3187,3080,2332,2240,2274,12173,0.3105,1.0043,0.0,-99.99693629248792
209,Faroe Islands,Europe,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.112,1.0038,0.0,1304.4973544973545
162,Fiji,Oceania,929766,920422,917200,905169,832509,780430,644582,527634,18272,50.8847,1.0056,0.01,1651.3015633829348
118,Finland,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,495.92897567775117
23,France,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,1066.3887798481974
184,French Guiana,South America,304557,290969,257026,228453,164351,113931,66825,46484,83534,3.6459,1.0239,0.0,-99.52874378653951
183,French Polynesia,Oceania,306279,301920,291787,283788,250927,211089,163591,117891,4167,73.5011,1.0074,0.0,0.5654114008215139
146,Gabon,Africa,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03,680.0051586951766
142,Gambia,Africa,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,253.1567,1.025,0.03,13.269194706386633
131,Georgia,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,38.3738385035876
19,Germany,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,2126.529670426519
47,Ghana,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,-59.84654786983346
219,Gibraltar,Europe,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0.0,-99.90247004782849
90,Greece,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,31707.92979876872
208,Greenland,North America,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0.0261,1.004,0.0,-99.45627195299824
193,Grenada,North America,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453,1.0066,0.0,122.14784117876243
178,Guadeloupe,North America,395752,395642,399089,403072,424067,391951,334234,318310,1628,243.0909,0.9992,0.0,215.4961016597841
191,Guam,Oceania,171774,169231,167978,164905,160188,138263,110286,88300,549,312.8852,1.0073,0.0,-56.59554468454993
68,Guatemala,North America,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,163.8725,1.0134,0.22,10288.014484147776
207,Guernsey,Europe,63301,62794,61629,60782,59114,57727,52860,52656,78,811.5513,1.0037,0.0,-99.64525147742299
75,Guinea,Africa,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17,21794.34764063759
149,Guinea-Bissau,Africa,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.2856,1.0218,0.03,-84.80760376701893
164,Guyana,South America,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01,-61.59104012887746
82,Haiti,North America,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,417.4773,1.012,0.15,1332.4995115774686
89,Honduras,North America,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,92.7431,1.015,0.13,-9.945070330624194
104,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,-28.218484672467568
94,Hungary,Europe,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,107.1431,1.0265,0.12,33.09504177201752
179,Iceland,Europe,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.6204,1.0069,0.0,-96.2587792009638
2,India,Asia,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,431.0675,1.0068,17.77,379942.0953126718
4,Indonesia,Asia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,144.6529,1.0064,3.45,-80.55979719000791
17,Iran,Asia,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,53.7258,1.0071,1.11,-67.85838852129862
35,Iraq,Asia,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,101.5158,1.0221,0.56,-49.75060917168573
125,Ireland,Europe,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.4799,1.0073,0.06,-88.7111308261875
202,Isle of Man,Europe,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7605,1.003,0.0,-98.31739665613468
98,Israel,Asia,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,435.1617,1.0155,0.11,10593.819141258178
25,Italy,Europe,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.9191,0.9966,0.74,553.1915870546139
52,Ivory Coast,Africa,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.3295,1.0248,0.35,-52.30056421451907
139,Jamaica,North America,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,257.2447,0.9999,0.04,-89.95979196707222
11,Japan,Asia,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,327.9753,0.9947,1.55,4283.981761187135
195,Jersey,Europe,110778,108319,100561,96151,86192,82874,75124,68347,116,954.9828,1.0106,0.0,-99.91062808565776
83,Jordan,Asia,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,126.3221,1.0123,0.14,10087.825199949448
66,Kazakhstan,Asia,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7.1188,1.0105,0.24,71.87863867638372
27,Kenya,Africa,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,93.0919,1.0193,0.68,178.5209432437306
192,Kiribati,Oceania,131232,126463,116707,107995,88826,75124,60813,57437,811,161.815,1.0183,0.0,-99.75710141765431
129,Kuwait,Asia,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5821,1.0044,0.05,3152.9207815167033
110,Kyrgyzstan,Asia,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612,1.0158,0.08,55.32490659712763
103,Laos,Asia,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,31.7968,1.0141,0.09,13.556071578794327
151,Latvia,Europe,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02,-75.42124782936394
119,Lebanon,Asia,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2334,0.9816,0.07,196.63826404870503
147,Lesotho,Africa,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.962,1.0107,0.03,-57.99754778870179
121,Liberia,Africa,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,47.6136,1.021,0.07,129.9689265230449
107,Libya,Africa,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.8717,1.0114,0.09,28.4697495474459
